date,power
04/01/2018 0:30,13.3
04/01/2018 0:40,12.7
04/01/2018 0:50,12.6
04/01/2018 1:00,12.5
04/01/2018 1:10,12.9
04/01/2018 1:20,12.9
04/01/2018 1:30,12.7
04/01/2018 1:40,12.8
04/01/2018 1:50,13.0
04/01/2018 2:00,12.8
04/01/2018 2:10,12.4
04/01/2018 2:20,12.6
04/01/2018 2:30,12.6
04/01/2018 2:40,12.3
04/01/2018 2:50,12.3
04/01/2018 3:00,12.5
04/01/2018 3:10,12.4
04/01/2018 3:20,12.5
04/01/2018 3:30,12.5
04/01/2018 3:40,12.4
04/01/2018 3:50,12.4
04/01/2018 4:00,12.6
04/01/2018 4:10,13.3
04/01/2018 4:20,13.0
04/01/2018 4:30,13.1
04/01/2018 4:40,12.7
04/01/2018 4:50,12.5
04/01/2018 5:00,12.9
04/01/2018 5:10,12.8
04/01/2018 5:20,12.6
04/01/2018 5:30,13.6
04/01/2018 5:40,13.3
04/01/2018 5:50,13.1
04/01/2018 6:00,15.6
04/01/2018 6:10,15.8
04/01/2018 6:20,15.9
04/01/2018 6:30,15.9
04/01/2018 6:40,15.6
04/01/2018 6:50,15.7
04/01/2018 7:00,15.6
04/01/2018 7:10,16.6
04/01/2018 7:20,17.6
04/01/2018 7:30,17.8
04/01/2018 7:40,17.4
04/01/2018 7:50,17.2
04/01/2018 8:00,16.5
04/01/2018 8:10,15.9
04/01/2018 8:20,14.8
04/01/2018 8:30,13.8
04/01/2018 8:40,13.3
04/01/2018 14:20,15.6
04/01/2018 14:30,14.7
04/01/2018 14:40,13.3
04/01/2018 14:50,14.2
04/01/2018 15:00,13.1
04/01/2018 15:10,13.3
04/01/2018 15:20,13.2
04/01/2018 15:30,13.5
04/01/2018 15:40,14.3
04/01/2018 15:50,14.3
04/01/2018 16:00,13.5
04/01/2018 16:10,13.2
04/01/2018 16:20,13.2
04/01/2018 16:30,13.0
04/01/2018 16:40,12.9
04/01/2018 16:50,13.5
04/01/2018 17:00,12.9
04/01/2018 17:10,12.8
04/01/2018 17:20,13.0
04/01/2018 17:30,13.1
04/01/2018 17:40,13.2
04/01/2018 17:50,13.8
04/01/2018 18:00,15.1
04/01/2018 18:10,15.3
04/01/2018 18:20,15.0
04/01/2018 18:30,14.9
04/01/2018 18:40,14.9
04/01/2018 18:50,14.9
04/01/2018 19:00,15.2
04/01/2018 19:10,14.9
04/01/2018 19:20,15.3
04/01/2018 19:30,16.5
04/01/2018 19:40,16.7
04/01/2018 19:50,16.6
04/01/2018 20:00,16.9
04/01/2018 20:10,17.6
04/01/2018 20:20,16.5
04/01/2018 20:30,16.3
04/01/2018 20:40,16.3
04/01/2018 20:50,16.0
04/01/2018 21:00,16.5
04/01/2018 21:10,15.1
04/01/2018 21:20,14.9
04/01/2018 21:30,15.0
04/01/2018 21:40,15.1
04/01/2018 21:50,15.1
04/01/2018 22:00,15.0
04/01/2018 22:10,13.4
04/01/2018 22:20,12.2
04/01/2018 22:30,12.1
04/01/2018 22:40,12.1
04/01/2018 22:50,12.4
04/01/2018 23:00,12.3
04/01/2018 23:10,12.2
04/01/2018 23:20,12.4
04/01/2018 23:30,12.4
04/01/2018 23:40,12.8
04/01/2018 23:50,12.9
05/01/2018 0:00,12.9
05/01/2018 0:10,12.6
05/01/2018 0:20,12.6
05/01/2018 0:30,12.4
05/01/2018 0:40,12.3
05/01/2018 0:50,12.8
05/01/2018 1:00,12.7
05/01/2018 1:10,12.4
05/01/2018 1:20,13.0
05/01/2018 1:30,13.2
05/01/2018 1:40,12.4
05/01/2018 1:50,12.5
05/01/2018 2:00,12.6
05/01/2018 2:10,12.5
05/01/2018 2:20,12.6
05/01/2018 2:30,12.7
05/01/2018 2:40,12.4
05/01/2018 2:50,12.1
05/01/2018 3:00,12.4
05/01/2018 3:10,12.4
05/01/2018 3:20,12.3
05/01/2018 3:30,12.4
05/01/2018 3:40,12.7
05/01/2018 3:50,12.8
05/01/2018 4:00,12.5
05/01/2018 4:10,12.2
05/01/2018 4:20,12.4
05/01/2018 4:30,12.5
05/01/2018 4:40,12.5
05/01/2018 4:50,12.4
05/01/2018 5:00,12.6
05/01/2018 5:10,12.6
05/01/2018 5:20,12.6
05/01/2018 5:30,12.6
05/01/2018 5:40,12.5
05/01/2018 5:50,12.7
05/01/2018 6:00,15.2
05/01/2018 6:10,15.2
05/01/2018 6:20,15.5
05/01/2018 6:30,16.1
05/01/2018 6:40,15.7
05/01/2018 6:50,15.2
05/01/2018 7:00,15.4
05/01/2018 7:10,15.3
05/01/2018 7:20,15.2
05/01/2018 7:30,15.6
05/01/2018 7:40,15.7
05/01/2018 7:50,15.6
05/01/2018 8:00,15.5
05/01/2018 8:10,15.2
05/01/2018 8:20,14.0
05/01/2018 8:30,14.6
05/01/2018 8:40,14.6
05/01/2018 8:50,14.6
