13.5;10.1;0;3.4;12.7;9.3;0;3.1;14.9;11.4;0;3.7
13.5;9.9;0;3.6;12.6;9.3;0;3.2;15;10.7;0;4.2
13.8;9.9;0;4;13.4;9.4;0;3.7;15.1;11;0;4.3
13.6;9.9;0;3.7;12.7;9.4;0;3.3;14.9;10.6;0;4.2
13.2;9.8;0;3.3;12.7;9.3;0;3;14.2;10.6;0;3.8
13.5;10.1;0;3.3;12.8;9.4;0;3.1;14.4;10.7;0;3.8
13.5;10.1;0;3.4;12.7;9.4;0;3.2;15.1;11.4;0;3.8
13.3;9.8;0;3.5;12.6;9.3;0;3.2;14.4;10.7;0;3.8
13.2;9.8;0;3.4;12.6;9.4;0;3.1;14.6;11;0;3.8
13.5;10.1;0;3.4;12.6;9.4;0;3.1;14.9;11.2;0;3.8
13.3;9.8;0;3.5;12.6;9.2;0;3.3;14.7;11;0;3.8
13.2;9.7;0;3.5;12.8;9.4;0;3.3;14.4;10.6;0;4
14;10.2;0;3.9;12.5;9.4;0;3;15.9;11.6;0;4.4
13.3;9.5;0;3.8;12.7;9.4;0;3.4;14.5;10.2;0;4.5
13.5;10;0;3.4;12.6;9.4;0;3.2;14.5;10.6;0;3.8
13.6;10.1;0;3.5;13;9.4;0;3.3;14.7;11;0;3.8
13;9.6;0;3.4;12.6;9.4;0;3.2;14.4;10.6;0;3.8
14.4;11;0;3.4;12.7;9.4;0;3.1;15.8;12.2;0;3.8
15.6;11.3;0.8;3.5;14.1;10.6;0;3.4;18.2;12.6;2.2;3.9
15.6;10.8;1.3;3.5;14.7;10.5;0.8;3.3;17.2;11.8;1.6;3.9
15.7;10.9;1.5;3.3;14.9;10.3;1.4;3;17;11.7;1.8;3.8
16.1;11.3;1.8;3.1;14.9;10.5;1.4;2.4;18.9;12.6;2.8;3.8
16.2;11;1.5;3.7;14.9;10.6;1.4;2.7;18.2;11.8;1.6;4.7
16.8;10.9;1.5;4.4;15.6;10.4;1.4;3.5;18.6;12.2;1.6;4.9
16.5;11.2;1.1;4.2;14.9;10.4;0.9;3.4;17.6;11.8;1.5;4.8
16.2;11;0.9;4.3;15.4;10.5;0.8;4.1;17.7;12.2;1;4.8
16.1;10.8;0.9;4.4;15.3;10.3;0.8;4;17.4;11.8;1.8;4.8
16.6;11.1;0.9;4.5;15.6;10.6;0.8;4;17.8;12.2;1.5;4.9
16.6;11.4;1.1;4.1;15.4;10.6;1;3.6;18.1;12.1;1.3;4.8
16.2;11.1;1.1;4.1;15;10.4;1;2.8;17.8;12.2;1.1;4.6
15.2;10.8;1.1;3.3;14;10.3;1;2.5;16.7;11.9;1.2;3.8
15.6;11.2;1;3.3;14.2;10.6;0.9;2.4;16.6;11.8;1.1;3.8
15.5;11.2;1;3.4;14.2;10.5;0.8;2.7;17.1;11.8;1.8;3.9
16.2;11;1.9;3.2;15;10.5;1.7;2.7;18.6;12.6;2.4;3.8
16.7;11.3;2;3.4;15;10.8;1.4;2.7;18.1;12;2.3;3.9
16.1;11.3;1.4;3.4;14.8;10.6;1.3;2.8;18.2;12.4;2.1;3.8
15.8;11.2;1.4;3.3;14.8;10.4;1.3;2.8;16.7;11.8;1.5;3.8
15.9;11.3;1.3;3.4;15.2;10.6;1.2;3.1;16.9;11.8;1.4;3.8
15.7;11;1.3;3.4;15.2;10.5;1.2;3.1;17.1;12;1.4;3.8
15.5;10.9;1.3;3.4;14.8;10.4;1.1;3.1;17.3;12.3;1.4;3.8
15.8;11.2;1.3;3.4;15.1;10.6;1.1;3.1;17.2;12.3;1.4;3.8
16;11.2;1.5;3.3;15.1;10.6;1.1;3;17.3;11.8;1.8;3.8
16.6;11.2;1.5;3.9;15.5;10.5;0.8;3.4;17.8;12.3;1.7;4.6
14.7;9.8;0.8;4.2;12;8;0.7;3.2;17.2;11.8;0.9;4.6
12.6;8.4;0.8;3.3;11.7;7.8;0.7;3.1;13.8;9.1;1;3.8
12.3;8.2;0.6;3.4;11.5;7.7;0.5;3.3;13.8;9.4;1;3.8
